PREC_ID,Year,Ward,Precinct,Total_Votes,Washington,Epton,Warren
198301001,1983,1,1,672,399,243,1
198301002,1983,1,2,528,493,2,2
198301003,1983,1,3,530,483,15,1
198301004,1983,1,4,267,110,150,2
198301005,1983,1,5,536,502,4,3
198301006,1983,1,6,777,210,559,0
198301007,1983,1,7,277,264,5,1
198301008,1983,1,8,646,274,351,1
198301009,1983,1,9,264,86,168,0
198301010,1983,1,10,418,407,2,1
198301011,1983,1,11,875,387,472,3
198301012,1983,1,12,571,534,6,1
198301013,1983,1,13,708,677,21,1
198301014,1983,1,14,341,324,3,0
198301015,1983,1,15,377,19,344,3
198301016,1983,1,16,329,30,290,0
198301017,1983,1,17,407,233,123,3
198301018,1983,1,18,524,209,294,1
198301019,1983,1,19,608,183,420,0
198301020,1983,1,20,406,50,330,4
198301021,1983,1,21,438,13,407,0
198301022,1983,1,22,475,450,6,0
198301023,1983,1,23,363,205,139,2
198301024,1983,1,24,347,37,302,0
198301025,1983,1,25,437,369,54,2
198301026,1983,1,26,220,69,140,1
198301027,1983,1,27,591,543,1,4
198301028,1983,1,28,431,406,7,1
198301029,1983,1,29,313,147,145,5
198301030,1983,1,30,447,196,234,1
198301031,1983,1,31,740,729,1,1
198301032,1983,1,32,390,41,335,3
198301033,1983,1,33,681,175,499,1
198301034,1983,1,34,515,246,241,1
198301035,1983,1,35,365,33,311,3
198301036,1983,1,36,480,435,6,2
198301037,1983,1,37,398,45,342,0
198301038,1983,1,38,652,407,226,1
198301039,1983,1,39,273,66,198,0
198301040,1983,1,40,324,318,0,1
198301041,1983,1,41,491,442,36,1
198301042,1983,1,42,325,295,0,1
198301043,1983,1,43,348,319,5,1
198301044,1983,1,44,386,351,1,1
198301045,1983,1,45,329,310,2,1
198301046,1983,1,46,333,303,4,1
198301047,1983,1,47,553,202,333,2
198302001,1983,2,1,488,456,8,2
198302002,1983,2,2,375,359,8,0
198302003,1983,2,3,500,480,1,1
198302004,1983,2,4,572,554,2,1
198302005,1983,2,5,659,616,2,2
198302006,1983,2,6,466,430,1,0
198302007,1983,2,7,445,428,3,0
198302008,1983,2,8,650,625,1,1
198302009,1983,2,9,491,462,5,1
198302010,1983,2,10,281,240,25,1
198302011,1983,2,11,402,373,2,0
198302012,1983,2,12,360,338,6,0
198302013,1983,2,13,516,481,30,0
198302014,1983,2,14,589,573,6,0
