WARD,PRECINCT,REGISTERED VOTERS,BALLOTS CAST,BART GOLDBERG,BRIAN MURPHY,ANNE MARIE MILES,MARTY QUINN,GREG BREWER,ADAM L. MIGUEST,MINERVA V. OROZCO,MARETTA BROWN-MILLER,CHARLES E. EASTWOOD,BRIAN E. SLEET,GREGORY I. MITCHELL,DEBRA L. SILVERSTEIN,JOANN THOMPSON,JEFFERY D. TURNER,LATASHA R. THOMAS,WILLIAM SIEGMUND,TIMOTHY M. CULLERTON,PATRICIA A. FOSTER,JIM HINKAMP,REY COLON,RAHM EMANUEL,GERY J. CHICO,GEORGE CARDENAS,ENRIQUE G. PEREZ,CHARLES V. 'CHUCK' MAIDA,EDDIE M. REED,BERNARD L. STONE,VALERIE F. LEONARD,EBONY TILLMAN,BRIAN GORMAN,RODERICK T. SAWYER,MITCHELL A. NEWMAN,MARGARET LAURINO,EDWARD M. BURKE,AMEYA PAWAR,MICHAEL FITZGERALD WARD,ANNA KLOCEK,PATRICIA VAN PELT WATKINS,"WILLIAM WALLS, III",RONALD MITCHELL,JOHN R. VIDECKIS,JOHN GARRIDO,WILLIE B. COCHRAN,BEFEKADU T. RETTA,SANDI JACKSON,MICHAEL E. MAYDEN,BRIAN SCOTT,GENITA C. ROBINSON,MICHAEL CHARLES MOSES,CARMEN HERNANDEZ,REGNER 'RAY' SUAREZ,BROCK MERCK,MICHAEL R. ZALEWSKI,MIGUEL SOTOMAYOR,C B JOHNSON,MICHAEL CARROLL,MICHAEL 'MIKE' JANKOVICH,TOM COURTNEY,MANNY ROMAN,ALBERTO BOCANEGRA JR.,SIDNEY H. BROOKS,MICHAEL D. CHANDLER,CHESTER R. HORNOWSKI,JOHN K. KOZLAR,HAROLD L. BAILEY,SHARON DENISE DIXON,VETRESS BOYCE,VIRGIL S. MEANS,PHILLIP R. SHERLOCK,TWAUNDELLA TAYLOR,JILL R. BUSH,FELICIA H. SIMMONS-STOVALL,RICARDO MUNOZ,RONALD J. BALTIERRA,TOM JACKS,HARRY OSTERMAN,TOM O'DONNELL,CASSANDRA GOODRUM-BURTON,SHELDON L. SHERMAN,SHANIKA J. FINLEY,BRENDAN REILLY,STEVEN E. PLEASANT,PHILIP R. BERNSTEIN,LORI S. YOKOYAMA,CAROL HIGHTOWER CHALMERS,TONI L. FOULKES,LIONELL R. MARTIN,SCOTT WAGUESPACK,SANDRA L. MALLORY,SAMMY CLIFFORD PACK JR.,ANTHONY A. BEALE,BRUCE RANDAZZO,RAYMOND A. LOPEZ,RICHARD GONZALEZ,BURL L. MCQUEEN,MARY O'CONNOR,TOM CARAVETTE,PAULETTE COLEMAN,FRANK M. BASS,MICHELLE A. HARRIS,"RICHARD L. MARTINEZ, JR.",FEDERICO SCIAMMARELLA,BOB FIORETTI,DAVID M. PAVLIK,FAHEEM SHABAZZ,ROMAN MORROW,CARMEN OLMETTI,JAMES A. BALCER,ROBERTO MALDONADO,EMMA M. MITTS,STELLA NICPON,MARIA E. 'CHULA' ORTIZ,EDMUND 'ED' J. QUARTULLO,JONATHAN T. STAMPS,HAROLD 'NOONIE' WARD,BRUNO BELLISSIMO,REGINA D. LEWIS,AHMED KHAN,MELISSA CALLAHAN,PATRICK J. O'CONNOR,DEBORAH LOPEZ,CHE 'RHYMEFEST' SMITH,ERIC HERMOSILLO,CHUKS ONYEZIA,"JOSEPH C. ZIEGLER, JR.",AMBROSIO 'AMBI' MEDRANO JR.,BITA BUENROSTRO,SCOTT BASKIN,CARRIE M. AUSTIN,GEORGE E. DAVIS,MICHAEL A. DAVIS,THOMAS M. TUNNEY,DONIELLE C. LAWSON,PAT DOWELL,JOE MOORE,RICHARD A. WOOTEN,FREDDRENNA M. LYLE,MAURITA E. GAVIN,RAYMOND (RAY) CORONADO,ANNE SCHAIBLE,WALLACE E. 'MICKEY' JOHNSON,TAMEKA GAVIN,"HOWARD B. BROOKINS, JR.",DIANE SHAPIRO,RICHARD F. MELL,MAHMOUD BAMBOUYANI,HAL E. BASKIN,JEROME MADDOX,JIMMY LEE LARD,ODDIS'O.J'JOHNSON,JASON C. ERVIN,JOSE GUERECA,BEVERLY D. ROGERS,JIM MULLEN,TIM EGAN,DON BLAIR,JAMES A. BOSCO,NORMAN H. BOLDEN,WILLIAM D. 'WILL' BURNS,MARC KAPLAN,LESLIE A. HAIRSTON,BARBARA ATECA,SHAVONDA FIELDS,PROCO 'JOE' MORENO,JAVIER DIAZ,MARY RUSSELL GARDNER,SHERYL M. MORABITO,SYRON M. SMITH,JEFFREY L. LEWIS,"WALTER BURNETT, JR.",THOMAS E. SIMMONS,GLENN ROSS,ARIEL E. REBOYRAS,MATTHEW J. O'SHEA,BRIAN WHITE,RAFAEL A. VARGAS,GEORGE BANNA,DANIEL 'DANNY' SOLIS,DON NOWOTNY,NEFTALIE GONZALEZ,MATT REICHEL,MELISSA L. WILLIAMS,NICHOLAS SPOSATO,LARRY G. NELSON,NANCY SCHIAVONE,GEVONNA FASSETT,JAMES CAPPLEMAN,CARL SEGVICH,MARTAVIUS 'MARK' CARTER,EMILY STEWART,CUAHUTEMOC MORFIN,JOHN A. RICE,JOHN A. POPE,BERTHA F. STARKS,JAMES L. DANIELS,ANDRE SMITH,MIGUEL DEL VALLE,JOSEPH A. NASELLA,CHAUNCEY L. STROUD,GEORGE RUMSEY,MICHELE A. TANKERSLEY,JAMES E. WILLIAMS,DEVON REID,ANTOINE MEMBERS,SHIRLEY J. WHITE,ANDY W. LAM,BRYAN P. LYNCH,PATRICK MCDONOUGH,WILBERT E. COOK  III,DANIEL T. LAPINSKI,CAITLIN MCINTYRE,MARY K. HUNTER,JODI BIANCALANA,JOHN JOSEPH QUINN,JESUS 'JESSE' INIGUEZ,JOSE E. ARTEAGA,THOMAS J. MOTZNY,SONDRA R. (SAM) SPELLMAN,TOMMY O. ABINA,HENRY MOSES,DOUG CANNON,MARINA YOLANDA FAZ-HUPPERT,SANDRA J. WALTERS,MARY ANNE 'MOLLY' PHELAN,JAMES J. SCHAMNE,STEVEN CHERESKA,GEORGE G. NEWELL,JOHN ARENA,DAVID H. MOORE,DEBORAH WASHINGTON,MICHELE SMITH,JULIUS ANDERSON,CAROL MOSELEY BRAUN,JOSE R. LEON,EDDIE JOHNSON  III,DEBORAH L. GRAHAM,DARCEL A. BEAVERS,LONA LANE,SYLVIA Y. JONES,ANNA GORAL,SIDNEY (SID) SHELTON,SEKUM WALKER,THOMAS PATRICK MURPHEY,RONALD CARTER,MICHAEL F. DANIELS
1,1,774,264,,,,,,,,,,,,,,,,,,,,,123,82,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
1,2,757,234,,,,,,,,,,,,,,,,,,,,,149,34,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
1,3,512,164,,,,,,,,,,,,,,,,,,,,,98,33,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,4,621,211,,,,,,,,,,,,,,,,,,,,,125,47,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
1,5,697,202,,,,,,,,,,,,,,,,,,,,,133,23,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
1,6,587,235,,,,,,,,,,,,,,,,,,,,,128,52,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
1,7,712,245,,,,,,,,,,,,,,,,,,,,,145,64,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
1,8,659,248,,,,,,,,,,,,,,,,,,,,,162,25,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
1,9,527,226,,,,,,,,,,,,,,,,,,,,,106,63,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
1,10,686,245,,,,,,,,,,,,,,,,,,,,,152,55,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
1,11,567,231,,,,,,,,,,,,,,,,,,,,,126,52,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
1,12,774,289,,,,,,,,,,,,,,,,,,,,,191,47,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
