WARD,PRECINCT,REGISTERED VOTERS,BALLOTS CAST,BYRON SIGCHO,ANNE SCHAIBLE,SCOTT WAGUESPACK,EDWARD M. BURKE,KEVIN BAILEY,SAMANTHA M. WEBB,HEATHER SATTLER,LaCOULTON J. WALLS,SUSAN SADLOWSKI GARZA,DAVID H. MOORE,MICHAEL C. DUDA,PATRICIA HORTON,DEBORAH L. GRAHAM,MARTIN ARTEAGA,DERRICK G. CURTIS,PAT DOWELL,DEBORAH L. MELL,VETRESS BOYCE,HENRY MOSES,ROBERTO MALDONADO,JOSEPH LAIACONA,"MICHAEL SCOTT, JR.","WILLIE RAY, JR.",CARMEN HERNANDEZ,JUAN B. HUIZAR,JESUS 'CHUY' GARCIA,ANNISA WANAT,STACEY PFINGSTEN,CORNELL WILSON,DEBRA L. SILVERSTEIN,JAMES CAPPLEMAN,ALONSO ZARAGOZA,ROBERT MARTINEZ,"WALTER BURNETT, JR.",BRENDAN REILLY,JOSE A. GARCIA,JOANN THOMPSON,GEORGE CARDENAS,PROCO 'JOE' MORENO,JOCELYN HARE,"JOSEPH J. MOSELEY, II",ED HERSHEY,TARA STAMPS,HAROLD 'NOONIE' WARD,FAHEEM SHABAZZ,"ERNEST RADCLIFFE, JR.",JOE MOORE,WILLIE B. COCHRAN,HARRY OSTERMAN,RAHM EMANUEL,RODERICK T. SAWYER,LARRY G. NELSON,JOHN S. ARENA,JORGE MUJICA,BOB GALHOTRA,CONSANDRA HARRIS,BRIAN T. GARNER,PATRICK DALEY THOMPSON,EMMA M. MITTS,ZERLINA A. SMITH,JERRY PASZEK,MARTY QUINN,ROBERT MURPHY,SHIRLEY J. WHITE,ARIEL E. REBOYRAS,ROGER L. WASHINGTON,DANIEL 'DANNY' SOLIS,JASON C. ERVIN,DENICE L. DAVIS,MAUREEN F. SULLIVAN,MICHELLE R. BAERT,ROBERT W. FIORETTI,RAYMOND A. LOPEZ,ANNE MARIE MILES,GLENDA FRANKLIN,MICHELLE A. HARRIS,"HOWARD B. BROOKINS, JR.",DORIS LEWIS BROOKS,ANDREW HAMILTON,CYNTHIA LOMAX,REGINA D. LEWIS,CHARLES R. THOMAS SR.,"JOSEPH C. ZIEGLER, JR.",NORMAN H BOLDEN,GABE BEUKINGA,MARK THOMAS,BRIAN HOPKINS,MARETTA BROWN-MILLER,OLGA BAUTISTA,TONI L. FOULKES,KEIANA BARRETT,ANNA GORAL,DIANNE DALEIDEN,LADARIUS R. CURTIS,FRANK J. CORONA,MARGIE REID,MICHAEL R. ZALEWSKI,STEPHANIE COLEMAN,PATRICK J. O'CONNOR,ROBIN BOYD CLARK,LONA LANE,SEAN C. STARR,JAMES E. DUKES,JEDIDIAH L. BROWN,THEODORE WILLIAMS,CHRISTOPHER M VITTORIO,RAFAEL YANEZ,ALYX S. PATTISON,REY COLON,MICHAEL E. LAFARGUE,AMY CRAWFORD,ADAM CORONA,WILLIAM D. BURNS,ZEHRA QUADRI,DARREN TILLIS,MICHAEL S. DIAZ,KEN LEWIS,WALLACE E. JOHNSON,RONDA LOCKE,JEFFREY BAKER,LASHONDA CURRY,DON GORDON,STEPHEN NIKETOPOULOS,SCOTT DAVIS,NICHOLAS SPOSATO,SHAJAN M. KURIAKOSE,RAUL O. REYES,IRMA CORNIER,ANDRE SMITH,NATASHIA L. HOLMES,LAWRENCE ANDOLINO,BELINDA CADIZ,FRANK M. BASS,RICARDO MUNOZ,TOM TUNNEY,"RICHARD L. MARTINEZ, JR.",TIFFANY N. BROOKS,MARY O'CONNOR,CARLOS RAMIREZ-ROSA,CARRIE M. AUSTIN,WILLIE WILSON,TRACEY Y BEY,BERNIE RILEY,ELISE DOODY-JONES,MILAGROS SANTIAGO,BRANDON LOGGINS,JERRY QUANDT,JUANITA IRIZARRY,GREGORY I. MITCHELL,RICHARD A. WOOTEN,LESLIE A. HAIRSTON,GILBERT VILLEGAS,TIM MEEGAN,LEROY DUNCAN,REGNER 'RAY' SUAREZ,JOHN A. POPE,MARGARET LAURINO,JENNIFER 'JEN' KRAMER,SHERITA ANN HARRIS,TARA F. BALDRIDGE,RORY A. FIEDLER,MARVIN MCNEIL,JOE LOMANTO,CHRIS TALIAFERRO,PATRICIA A. FOSTER,FLORA 'FLO' DIGBY,"WILLIAM WALLS, III",STEPHEN ROBINSON,TOM CARAVETTE,AMEYA PAWAR,ROBERTO 'BETO' MONTANO,JOHN GARRIDO,ANNE SHAW,NEFTALIE GONZALEZ,CHUKS ONYEZIA,MICHAEL A. DAVIS,ADOLFO MONDRAGON,ANTHONY A. BEALE,EDDIE L. DANIELS,MICHELE SMITH,CAROLINE VICKREY,"RAUL MONTES, JR.",BITA BUENROSTRO,ANTHONY V. NAPOLITANO,OMAR AQUINO,MATTHEW J. O'SHEA,ODDIS 'O.J' JOHNSON,JOHN K. KOZLAR,"OTIS DAVIS, JR."
1,1,732,196,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,104,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,46,,,,,,,,,,,,,,,,
1,2,682,195,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,83,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,52,,,,,,,,,,,,,,,,
1,3,795,212,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,80,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,56,,,,,,,,,,,,,,,,
1,4,766,233,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,71,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,44,,,,,,,,,,,,,,,,
1,5,764,171,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,85,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,
1,6,731,218,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,103,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,60,,,,,,,,,,,,,,,,
1,7,457,154,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,77,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,45,,,,,,,,,,,,,,,,
1,8,703,232,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,149,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,32,,,,,,,,,,,,,,,,
1,9,528,204,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,136,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,39,,,,,,,,,,,,,,,,
1,10,778,186,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,89,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,37,,,,,,,,,,,,,,,,
1,11,739,181,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,66,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,47,,,,,,,,,,,,,,,,
