WARD,PRECINCT,REGISTERED VOTERS,BALLOTS CAST,JERRY JOYCE,PAUL VALLAS,WILLIE L. WILSON,TONI PRECKWINKLE,WILLIAM M. DALEY,GARRY MCCARTHY,GERY CHICO,SUSANA A. MENDOZA,AMARA ENYIA,LA SHAWN K. FORD,NEAL SALES-GRIFFIN,LORI LIGHTFOOT,ROBERT 'BOB' FIORETTI,JOHN KENNETH KOZLAR,ROBERT MURPHY,SAMANTHA 'SAM' NUGENT,CASEY SMAGALA,JOE DUPLECHIN,MARIA HADDEN,CLEOPATRA WATSON,TONI L. FOULKES,ANDREW D ROWLAS,PAUL COLLINS,CARLOS  RAMIREZ-ROSA,UGO OKERE,THERESA SIAW,JEFFREY L. LEWIS,RAYMOND A. LOPEZ,LINDA HUDSON,SCOTT WAGUESPACK,DANIEL LA SPATA,MARTHA YERANIA RANGEL,MATT MARTIN,HILARIO DOMINGUEZ,RICHARD A. WOOTEN,NEFTALIE GONZALEZ,ALEXANDER ACEVEDO,DEBORAH A. FOSTER-BONNER,PATRICK DALEY THOMPSON,MARTY QUINN,MILAGROS SANTIAGO,JASMINE JACKSON,SOPHIA KING,"PAULINO VILLARREAL, JR.",DWAYNE TRUSS,MAYA HODARI,JOSE RICO,CYNTHIA D. BEDNARZ,JESSICA W. GUTIERREZ,TROY ANTONIO HERNANDEZ,ANGELA 'ANGIE' MALONEY,ESSIE HALL,JACOB RINGER,PETE DEMAY,PATRICK J. O'CONNOR,ROBERTO MALDONADO,DEREK LINDBLOM,ARIEL E. REBOYRAS,GUS KATSAFAROS,DAVID MIHALYFY,JOE MOORE,MIGUEL BAUTISTA,BRENDAN REILLY,DAVID EARL WILLIAMS III,MICHAEL D. RODRIGUEZ,CHUKS ONYEZIA,BEVERLY MILES,"JOSEPH C. ZIEGLER, JR.",ELIZABETH SHYDLOWSKI,SUSAN SADLOWSKI GARZA,JENNIFER O. MADDOX,DIANNE DALEIDEN,MICHAEL A. NEGRON,JEDIDIAH L. BROWN,ROBERT A. BANK,MARVIN MCNEIL,LISETTE 'LIZ' LOPEZ,JOHN S. ARENA,DEONDRE RUTUES,LATASHA M. SANDERS,DAVID HERRERA,"OTIS DAVIS, JR.",PATRICIA 'PAT' DOWELL,WILLIAM CALLOWAY,KIMBALL LADIEN,"ANTHONY DRIVER, JR.","WALTER BURNETT, JR.",BYRON SIGCHO-LOPEZ,"HOWARD B. BROOKINS, JR.",NICHOLAS SPOSATO,KEVIN M. BAILEY,JASON C. ERVIN,ANTHONY V. NAPOLITANO,DERNARD D. NEWELL,ANTHONY A. BEALE,AIDA FLORES,PRESTON BROWN JR,MARILYN MORALES,DEBRA L. SILVERSTEIN,COLIN BIRD-MARTINEZ,QUANDRA V. SPEIGHTS,ROBERT 'BOBBY' LONCAR,DERRICK G. CURTIS,ZEHRA QUADRI,GREGORY I. MITCHELL,LESLIE FOX,EBONY D. LUCAS,EILEEN DORDEK,TIM HENEGHAN,HARRY OSTERMAN,JEANETTE B TAYLOR,JAIME GUZMAN,ANDRÉ VASQUEZ,TORIANO A. SANZONE,REBECCA JANOWITZ,ANGELA CLAY,AUSTIN BAIDAS,R. RODRIGUEZ SANCHEZ,JEFF JENKINS,DAVID J. KRUPA,JUSTIN KREINDLER,MICHELLE A. HARRIS,BRIAN HOPKINS,"MICHAEL  SCOTT, JR.",JAMES CAPPLEMAN,ALEXANDRIA WILLIS,DEBORAH L. MELL,PATRICIA A. FOSTER,MARIANNE LALONDE,MICHELE SMITH,CHARLES KYLE,AMANDA YU DIETERICH,EDDIE JOHNSON III,JEWEL EASTERLING-SMITH,TRACI JOHNSON,EDWARD M. BURKE,CREATIVE SCOTT,ZERLINA A. SMITH,TARA STAMPS,CARRIE M. AUSTIN,STEPHANIE D. COLEMAN,RICHARD JUAREZ,BERTO AGUAYO,DAVID A. DEWAR,JON-ROBERT MCDOWELL,MAGGIE O'KEEFE,FAHEEM SHABAZZ,MATTHEW J. O'SHEA,RAYNETTA GREENLEAF,SILVANA TABARES,GEORGE CARDENAS,ANDRE SMITH,TOM TUNNEY,KENNY C. DOSS II,PROCO 'JOE' MORENO,STEVEN MCCLELLAN,RAFAEL 'RAFA' YANEZ,DAVID H. MOORE,RODERICK T. SAWYER,FELIX CARDONA JR.,THOMAS M. SCHWARTZERS,ERIKA WOZNIAK FRANCIS,LESLIE A. HAIRSTON,JOSEPH G. WILLIAMS,GABRIEL PIEMONTE,CHRIS TALIAFERRO,TANYA G. PATINO,KATIE SIERACKI,HEATHER WAY KITZES,GILBERT VILLEGAS,EMMA M. MITTS,EDGAR 'EDEK' ESPARZA,JAMES 'JIM' GARDINER,NICOLE J. JOHNSON
1,1,967,330,10,8,14,53,34,3,19,33,59,2,1,90,1,1,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,
1,2,875,248,10,8,19,39,29,2,14,29,36,2,1,56,2,0,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,
1,3,945,312,13,11,6,48,44,5,11,23,51,0,0,92,1,5,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,
1,4,986,307,13,22,5,53,49,9,13,31,32,2,1,69,4,4,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,
1,5,924,286,10,18,5,45,35,5,9,21,54,0,1,77,3,2,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,
1,6,889,291,15,14,5,25,53,8,20,37,42,0,1,66,0,2,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,
1,7,599,235,5,11,10,41,20,3,13,32,29,2,0,66,2,1,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,
1,8,823,281,10,13,20,50,36,6,9,34,24,1,1,59,1,10,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,
1,9,687,290,15,10,6,47,39,9,22,49,32,0,1,51,3,1,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,
1,10,1087,296,8,13,5,44,45,9,12,29,31,0,1,97,1,0,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,
1,11,950,322,9,16,5,45,44,4,6,24,54,1,4,107,3,0,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,
