PREC_ID,Year,Ward,Precinct,Total Ballots Cast,Ballots Cast for Dems,Ballots Cast for Rep.,Ballots Cast for N.P.,Washington,Byrne,Ranalio,Daley,Jones,Markowski
198301001,1983,1,1,566,554,12,0,206,190,3,135,0,1
198301002,1983,1,2,453,450,3,0,323,70,2,4,1,0
198301003,1983,1,3,491,488,3,0,319,97,1,32,1,0
198301004,1983,1,4,278,274,4,0,36,128,0,103,0,0
198301005,1983,1,5,475,465,9,1,345,74,0,4,1,0
198301006,1983,1,6,714,691,23,0,96,338,1,244,0,0
198301007,1983,1,7,244,239,5,0,148,59,0,8,0,0
198301008,1983,1,8,566,540,26,0,157,175,2,184,3,0
198301009,1983,1,9,280,275,5,0,10,178,1,67,0,0
198301010,1983,1,10,344,343,1,0,218,91,0,2,3,0
198301011,1983,1,11,828,819,9,0,190,340,0,270,1,0
198301012,1983,1,12,537,531,5,1,313,138,2,27,1,0
198301013,1983,1,13,673,668,4,1,551,73,0,23,1,0
198301014,1983,1,14,286,286,0,0,235,35,1,3,0,0
198301015,1983,1,15,363,357,6,0,2,253,1,76,2,0
198301016,1983,1,16,286,284,1,1,3,210,1,59,1,1
198301017,1983,1,17,411,398,10,3,74,158,1,107,1,0
198301018,1983,1,18,514,510,4,0,131,303,1,48,1,1
198301019,1983,1,19,535,526,9,0,104,268,0,153,0,0
198301020,1983,1,20,388,385,3,0,21,189,4,139,1,2
198301021,1983,1,21,425,421,4,0,2,269,1,128,0,0
198301022,1983,1,22,426,423,3,0,295,90,0,8,0,0
198301023,1983,1,23,401,397,3,1,48,231,1,86,0,0
198301024,1983,1,24,333,331,2,0,17,157,1,146,0,0
198301025,1983,1,25,415,412,0,3,266,96,1,25,0,0
198301026,1983,1,26,230,220,9,1,19,99,0,84,0,1
198301027,1983,1,27,487,485,2,0,357,80,0,7,0,0
198301028,1983,1,28,381,381,0,0,280,71,0,7,0,0
198301029,1983,1,29,348,347,0,1,30,182,9,112,2,1
198301030,1983,1,30,435,432,3,0,114,206,7,73,1,0
198301031,1983,1,31,626,617,7,2,413,157,0,1,0,2
198301032,1983,1,32,378,375,3,0,14,260,0,86,0,0
198301033,1983,1,33,603,595,8,0,63,298,0,234,0,0
198301034,1983,1,34,496,490,5,1,139,242,0,71,1,0
198301035,1983,1,35,378,373,5,0,15,270,2,64,0,0
198301036,1983,1,36,408,407,1,0,251,97,2,14,0,2
198301037,1983,1,37,364,359,5,0,19,267,0,53,0,0
198301038,1983,1,38,602,593,8,1,268,201,1,86,1,0
198301039,1983,1,39,260,257,3,0,33,142,2,70,0,0
198301040,1983,1,40,300,296,3,1,213,63,0,6,0,0
198301041,1983,1,41,438,433,5,0,272,120,0,20,0,1
198301042,1983,1,42,306,304,2,0,189,58,2,6,1,1
198301043,1983,1,43,307,306,1,0,193,46,2,5,0,0
198301044,1983,1,44,364,361,3,0,229,77,2,4,0,1
198301045,1983,1,45,266,262,4,0,182,37,1,3,0,0
198301046,1983,1,46,305,304,1,0,180,83,0,9,1,0
198301047,1983,1,47,538,529,8,1,122,273,1,114,0,0
198302001,1983,2,1,445,440,4,1,359,50,0,14,0,0
198302002,1983,2,2,353,350,3,0,289,41,0,12,0,0
198302003,1983,2,3,453,448,5,0,374,34,0,8,0,0
198302004,1983,2,4,516,512,4,0,348,96,0,8,0,0
198302005,1983,2,5,608,606,2,0,490,76,0,5,0,1
198302006,1983,2,6,428,424,3,1,328,61,0,7,1,0
198302007,1983,2,7,409,401,8,0,315,56,0,2,0,0
198302008,1983,2,8,568,566,0,2,422,93,0,7,0,0
198302009,1983,2,9,429,425,3,1,289,63,0,17,0,0
198302010,1983,2,10,236,228,8,0,154,44,1,11,0,1
198302011,1983,2,11,376,373,3,0,239,75,1,7,0,0
198302012,1983,2,12,338,334,4,0,166,71,4,17,1,1
198302013,1983,2,13,493,490,3,0,363,74,0,42,0,0
198302014,1983,2,14,522,520,2,0,451,47,0,14,0,0
198302015,1983,2,15,433,425,7,1,325,50,0,19,0,1
198302016,1983,2,16,476,463,8,5,340,87,0,9,0,1
198302017,1983,2,17,434,429,5,0,329,66,0,5,1,0
198302018,1983,2,18,639,633,6,0,520,72,0,17,0,0
198302019,1983,2,19,479,476,3,0,321,73,0,14,0,0
198302020,1983,2,20,650,643,4,3,456,90,2,30,0,1
198302021,1983,2,21,544,540,4,0,450,48,3,15,0,0
198302022,1983,2,22,308,304,4,0,207,41,0,12,0,0
198302023,1983,2,23,401,398,2,1,302,58,0,7,0,1
198302024,1983,2,24,150,147,0,3,73,38,1,23,1,1
198302025,1983,2,25,360,358,2,0,299,37,0,17,0,0
198302026,1983,2,26,442,438,2,2,321,80,1,9,0,1
198302027,1983,2,27,380,375,5,0,316,45,0,9,0,0
198302028,1983,2,28,182,179,2,1,124,34,0,0,0,0
198302029,1983,2,29,497,491,6,0,342,104,0,12,1,0
198302030,1983,2,30,340,338,2,0,226,50,1,14,1,1
198302031,1983,2,31,454,450,4,0,365,51,0,23,0,0
198302032,1983,2,32,369,368,0,1,284,55,0,13,0,1
198302033,1983,2,33,451,438,13,0,237,98,1,87,2,1
198302034,1983,2,34,347,342,5,0,293,28,0,9,1,0
198302035,1983,2,35,467,463,4,0,263,113,1,10,0,0
198302036,1983,2,36,534,529,4,1,409,70,0,15,0,0
198302037,1983,2,37,323,320,3,0,257,35,0,1,1,1
198302038,1983,2,38,353,347,5,1,238,50,1,18,1,1
198302039,1983,2,39,508,501,7,0,342,92,1,24,0,1
198302040,1983,2,40,426,419,7,0,319,64,3,1,0,0
