WARD,PRECINCT,REGISTERED VOTERS,BALLOTS CAST,Dorothy J. Tillman,Felicia H. Simmons-Stovall,Lona Lane,Don Gordon,Joann Thompson,Scott Waguespack,Ted Matlak,"Howard B. Brookins, Jr.",Bernard L. Stone,Michele Smith,Toni L. Foulkes,Joe Moore,Vilma Colom,Michael D. Chandler,Vi Daley,Bob Fioretti,"Leroy J. Jones, Jr.",Naisy Dolar,Shirley A. Coleman,Pat Dowell,Sharon Denise Dixon,Paul Stewart,Madeline L. Haithcock,Rey Colón
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,891,252,,,,,,,,,,,,,,,,220,,,,,,,32,
2,2,28,0,,,,,,,,,,,,,,,,,,,,,,,,
2,3,949,144,,,,,,,,,,,,,,,,92,,,,,,,51,
2,4,605,134,,,,,,,,,,,,,,,,99,,,,,,,35,
2,5,396,77,,,,,,,,,,,,,,,,45,,,,,,,32,
2,6,874,144,,,,,,,,,,,,,,,,132,,,,,,,12,
2,7,592,199,,,,,,,,,,,,,,,,107,,,,,,,92,
2,8,759,245,,,,,,,,,,,,,,,,184,,,,,,,61,
2,9,462,133,,,,,,,,,,,,,,,,61,,,,,,,72,
2,10,163,17,,,,,,,,,,,,,,,,12,,,,,,,5,
2,11,255,149,,,,,,,,,,,,,,,,103,,,,,,,45,
2,12,943,153,,,,,,,,,,,,,,,,131,,,,,,,21,
2,13,515,174,,,,,,,,,,,,,,,,150,,,,,,,24,
2,14,593,239,,,,,,,,,,,,,,,,107,,,,,,,132,
2,15,127,23,,,,,,,,,,,,,,,,17,,,,,,,6,
2,16,1015,205,,,,,,,,,,,,,,,,167,,,,,,,37,
2,17,641,120,,,,,,,,,,,,,,,,67,,,,,,,53,
2,18,548,214,,,,,,,,,,,,,,,,157,,,,,,,56,
2,19,710,258,,,,,,,,,,,,,,,,228,,,,,,,30,
2,20,562,227,,,,,,,,,,,,,,,,98,,,,,,,129,
2,21,561,233,,,,,,,,,,,,,,,,129,,,,,,,104,
2,22,763,370,,,,,,,,,,,,,,,,181,,,,,,,189,
2,23,420,117,,,,,,,,,,,,,,,,64,,,,,,,53,
2,24,356,81,,,,,,,,,,,,,,,,52,,,,,,,29,
2,25,383,98,,,,,,,,,,,,,,,,86,,,,,,,12,
2,26,1165,363,,,,,,,,,,,,,,,,282,,,,,,,80,
2,27,561,158,,,,,,,,,,,,,,,,83,,,,,,,74,
2,28,467,76,,,,,,,,,,,,,,,,67,,,,,,,7,
2,29,216,53,,,,,,,,,,,,,,,,37,,,,,,,16,
2,30,468,31,,,,,,,,,,,,,,,,25,,,,,,,6,
2,31,562,213,,,,,,,,,,,,,,,,87,,,,,,,126,
2,32,395,63,,,,,,,,,,,,,,,,46,,,,,,,17,
2,33,698,104,,,,,,,,,,,,,,,,32,,,,,,,72,
2,34,536,177,,,,,,,,,,,,,,,,79,,,,,,,98,
2,35,718,59,,,,,,,,,,,,,,,,50,,,,,,,9,
2,36,310,89,,,,,,,,,,,,,,,,51,,,,,,,38,
2,37,731,239,,,,,,,,,,,,,,,,186,,,,,,,53,
2,38,574,177,,,,,,,,,,,,,,,,130,,,,,,,47,
2,39,710,157,,,,,,,,,,,,,,,,102,,,,,,,54,
2,40,885,254,,,,,,,,,,,,,,,,170,,,,,,,84,
2,41,399,54,,,,,,,,,,,,,,,,30,,,,,,,23,
2,42,338,30,,,,,,,,,,,,,,,,18,,,,,,,12,
2,43,684,308,,,,,,,,,,,,,,,,220,,,,,,,87,
2,44,390,160,,,,,,,,,,,,,,,,62,,,,,,,98,
2,45,747,121,,,,,,,,,,,,,,,,66,,,,,,,55,
2,46,655,286,,,,,,,,,,,,,,,,133,,,,,,,153,
2,47,511,100,,,,,,,,,,,,,,,,51,,,,,,,49,
2,48,553,94,,,,,,,,,,,,,,,,48,,,,,,,46,
2,49,1107,158,,,,,,,,,,,,,,,,124,,,,,,,33,
2,50,486,141,,,,,,,,,,,,,,,,86,,,,,,,54,
2,51,576,146,,,,,,,,,,,,,,,,76,,,,,,,70,
2,52,819,154,,,,,,,,,,,,,,,,100,,,,,,,54,
2,53,309,33,,,,,,,,,,,,,,,,18,,,,,,,15,
2,54,719,256,,,,,,,,,,,,,,,,199,,,,,,,57,
2,55,152,59,,,,,,,,,,,,,,,,43,,,,,,,16,
2,56,563,156,,,,,,,,,,,,,,,,88,,,,,,,68,
2,57,331,152,,,,,,,,,,,,,,,,83,,,,,,,69,
2,58,509,93,,,,,,,,,,,,,,,,70,,,,,,,23,
2,59,451,248,,,,,,,,,,,,,,,,181,,,,,,,67,
2,60,1192,445,,,,,,,,,,,,,,,,363,,,,,,,82,
3,1,564,224,75,,,,,,,,,,,,,,,,,,,147,,,,
3,2,555,308,171,,,,,,,,,,,,,,,,,,,137,,,,
3,3,454,161,45,,,,,,,,,,,,,,,,,,,116,,,,
3,4,388,176,69,,,,,,,,,,,,,,,,,,,107,,,,
3,5,512,184,80,,,,,,,,,,,,,,,,,,,104,,,,
3,6,612,108,57,,,,,,,,,,,,,,,,,,,51,,,,
3,7,464,264,160,,,,,,,,,,,,,,,,,,,104,,,,
3,8,155,20,10,,,,,,,,,,,,,,,,,,,10,,,,
3,9,417,179,80,,,,,,,,,,,,,,,,,,,99,,,,
3,10,320,74,53,,,,,,,,,,,,,,,,,,,21,,,,
3,11,541,233,84,,,,,,,,,,,,,,,,,,,149,,,,
3,12,563,214,92,,,,,,,,,,,,,,,,,,,122,,,,
3,13,488,133,23,,,,,,,,,,,,,,,,,,,105,,,,
3,14,269,121,70,,,,,,,,,,,,,,,,,,,51,,,,
3,15,654,189,86,,,,,,,,,,,,,,,,,,,103,,,,
3,16,400,201,100,,,,,,,,,,,,,,,,,,,101,,,,
3,17,373,157,68,,,,,,,,,,,,,,,,,,,89,,,,
3,18,326,114,54,,,,,,,,,,,,,,,,,,,59,,,,
3,19,94,4,1,,,,,,,,,,,,,,,,,,,3,,,,
3,20,397,167,81,,,,,,,,,,,,,,,,,,,86,,,,
3,21,376,99,43,,,,,,,,,,,,,,,,,,,56,,,,
3,22,350,144,66,,,,,,,,,,,,,,,,,,,78,,,,
3,23,145,18,2,,,,,,,,,,,,,,,,,,,16,,,,
3,24,504,211,89,,,,,,,,,,,,,,,,,,,122,,,,
3,25,439,127,69,,,,,,,,,,,,,,,,,,,58,,,,
3,26,627,153,63,,,,,,,,,,,,,,,,,,,89,,,,
3,27,560,164,64,,,,,,,,,,,,,,,,,,,100,,,,
3,28,485,89,49,,,,,,,,,,,,,,,,,,,40,,,,
3,29,387,161,92,,,,,,,,,,,,,,,,,,,69,,,,
3,30,415,183,53,,,,,,,,,,,,,,,,,,,129,,,,
3,31,654,296,170,,,,,,,,,,,,,,,,,,,126,,,,
3,32,462,152,57,,,,,,,,,,,,,,,,,,,95,,,,
3,33,782,234,92,,,,,,,,,,,,,,,,,,,142,,,,
3,34,337,169,58,,,,,,,,,,,,,,,,,,,111,,,,
3,35,489,206,68,,,,,,,,,,,,,,,,,,,136,,,,
3,36,299,87,46,,,,,,,,,,,,,,,,,,,41,,,,
3,37,245,78,30,,,,,,,,,,,,,,,,,,,48,,,,
3,38,566,301,177,,,,,,,,,,,,,,,,,,,124,,,,
3,39,474,270,186,,,,,,,,,,,,,,,,,,,84,,,,
3,40,420,134,57,,,,,,,,,,,,,,,,,,,77,,,,
3,41,653,176,113,,,,,,,,,,,,,,,,,,,63,,,,
3,42,484,117,49,,,,,,,,,,,,,,,,,,,68,,,,
3,43,339,80,62,,,,,,,,,,,,,,,,,,,18,,,,
3,44,311,66,27,,,,,,,,,,,,,,,,,,,39,,,,
3,45,564,220,83,,,,,,,,,,,,,,,,,,,137,,,,
3,46,338,65,45,,,,,,,,,,,,,,,,,,,20,,,,
3,47,417,127,49,,,,,,,,,,,,,,,,,,,78,,,,
3,48,476,159,109,,,,,,,,,,,,,,,,,,,50,,,,
3,49,178,44,12,,,,,,,,,,,,,,,,,,,32,,,,
3,50,496,184,124,,,,,,,,,,,,,,,,,,,60,,,,
3,51,278,73,7,,,,,,,,,,,,,,,,,,,66,,,,
3,52,324,69,27,,,,,,,,,,,,,,,,,,,42,,,,
3,53,655,156,77,,,,,,,,,,,,,,,,,,,79,,,,
3,54,1032,338,78,,,,,,,,,,,,,,,,,,,260,,,,
4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,,,,,,,,,,,,,,,,,,,,,,,,,,
4,28,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,,,,,,,,,,,,,,,,,,,,,,,,,,
