WARD,PRECINCT,SHAPE_Area,WARD_PRECI,PERIMETER,OBJECTID,SHAPE_Leng,DATA_ADMIN
1,1,1557005.60563,1001,7305.96245692,3401,5997.68196353,1995610.49105
1,2,1310773.32565,1002,6260.3513708,2778,5595.85362865,1751867.33889
1,3,1105091.6134,1003,6328.36861749,3412,5307.52558042,1384027.96097
1,4,879870.93807,1004,4647.78701748,3409,3980.4491155,1040870.73843
1,5,1523302.32707,1005,6192.18789238,2772,5774.73803222,1918292.88891
1,6,1545577.7937,1006,5990.08553243,4460,5990.08544485,1545577.85334
1,7,5314977.98171,1007,14692.9927997,3397,12767.8401745,6846377.36998
1,8,1176405.78525,1008,4807.31538545,3385,5132.72913965,1046106.23704
1,9,1244021.82406,1009,4470.75177921,4672,4470.7520243,1244021.77583
1,10,1645325.56269,1010,4872.69305001,3386,5937.29379242,1250315.0749
1,11,1105223.75963,1011,5988.95347083,3403,5320.31594048,1991738.8534
1,12,1531353.0287,1012,5630.15408991,4582,5630.15435112,1531352.98332
1,13,2304359.82656,1013,7396.23959763,4684,7396.23972315,2304359.80056
1,14,2433482.12007,1014,8632.7664453,3400,7324.46457679,2870200.35429
1,15,892842.940254,1015,5355.99634756,4523,5355.99630003,892842.933815
1,16,1076146.065,1016,4944.71889409,4777,4944.71872943,1076146.07287
1,17,875644.801704,1017,5531.39844961,3413,3974.25985448,1393665.18762
1,18,879099.379566,1018,3992.77449259,4515,3992.77450757,879099.406849
1,19,1762634.81951,1019,7675.44925943,3395,5297.04174871,2959305.40002
1,20,1339662.97551,1020,4693.53963124,4693,4693.5395782,1339662.97687
1,21,760628.642661,1021,6574.38293312,3387,3612.38721831,1859880.66553
1,22,1677934.64011,1022,5881.95380859,3348,5216.83380156,2124866.53816
1,23,1319835.57725,1023,7301.76494349,3406,5311.53374046,1979170.21046
1,24,2848381.98647,1024,9788.92680444,2972,9990.34085706,2680223.17829
1,25,732548.854391,1025,5784.1913964,3344,3534.55782972,1403845.97239
1,26,1087112.98722,1026,5880.62393417,3345,4528.99814377,1310704.05123
1,27,1338791.9508,1027,6078.9364952,3347,4663.58289268,2228119.82857
1,28,1537661.95998,1028,6390.50817849,3398,4926.50423385,2322226.22552
1,29,1737440.31956,1029,5342.99559834,4663,5342.9957309,1737440.29153
