WARD,PRECINCT,VETRESS BOYCE,SUSAN SADLOWSKI GARZA,REGISTERED VOTERS,BALLOTS CAST,MILAGROS SANTIAGO,DERRICK G. CURTIS,JESUS 'CHUY' GARCIA,WILLIE B. COCHRAN,ANTHONY V. NAPOLITANO,MARVIN MCNEIL,MARY O'CONNOR,EMMA M. MITTS,RAHM EMANUEL,"MICHAEL SCOTT, JR.",GREGORY I. MITCHELL,DEBORAH L. GRAHAM,JOHN S. ARENA,KEVIN BAILEY,LONA LANE,JOHN GARRIDO,JOHN K. KOZLAR,NATASHIA L. HOLMES,REGNER 'RAY' SUAREZ,TARA STAMPS,PATRICK DALEY THOMPSON,JOHN A. POPE,MICHELE SMITH,RAFAEL YANEZ,"HOWARD B. BROOKINS, JR.",GILBERT VILLEGAS,ALYX S. PATTISON,CHRIS TALIAFERRO,RAYMOND A. LOPEZ,BRIAN HOPKINS,OMAR AQUINO,JAMES CAPPLEMAN,STEPHANIE COLEMAN,TONI L. FOULKES,AMY CRAWFORD,CAROLINE VICKREY
1,1,,,753,259,,,166,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,706,254,,,179,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,811,269,,,120,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,790,277,,,132,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,784,217,,,73,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,748,290,,,146,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,462,186,,,107,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,716,270,,,111,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,543,264,,,158,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,797,226,,,88,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,755,253,,,104,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,,877,300,,,161,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,346,121,,,81,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,,713,270,,,123,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,,,685,256,,,171,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,,,546,228,,,164,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,,,676,251,,,168,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,,779,290,,,185,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,,911,388,,,262,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,,,638,238,,,166,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,,,783,232,,,78,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,,513,168,,,99,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,,,962,395,,,240,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,,,725,200,,,145,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,,730,202,,,124,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,,,644,198,,,159,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,765,247,,,129,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,,,330,133,,,82,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,,,684,257,,,118,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,,,828,311,,,227,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,,,764,279,,,156,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,,,686,264,,,126,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,,,820,282,,,142,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,,609,235,,,149,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,,797,299,,,154,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,,,708,232,,,82,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,,,697,241,,,109,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,,,676,271,,,162,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,,,694,236,,,129,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,,,719,282,,,116,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41,,,444,192,,,120,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,,,228,91,,,62,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,,,507,183,,,97,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,,,558,196,,,109,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,798,251,,,114,,,,,,137,,,,,,,,,,,,,,,,,,130,,,106,,,,,,
2,2,,,568,346,,,45,,,,,,299,,,,,,,,,,,,,,,,,,108,,,228,,,,,,
2,3,,,764,278,,,100,,,,,,176,,,,,,,,,,,,,,,,,,162,,,101,,,,,,
2,4,,,726,269,,,127,,,,,,141,,,,,,,,,,,,,,,,,,155,,,104,,,,,,
2,5,,,824,313,,,145,,,,,,168,,,,,,,,,,,,,,,,,,153,,,142,,,,,,
2,6,,,782,271,,,137,,,,,,132,,,,,,,,,,,,,,,,,,98,,,162,,,,,,
2,7,,,951,283,,,112,,,,,,170,,,,,,,,,,,,,,,,,,144,,,122,,,,,,
2,8,,,816,289,,,139,,,,,,148,,,,,,,,,,,,,,,,,,118,,,148,,,,,,
2,9,,,700,273,,,42,,,,,,229,,,,,,,,,,,,,,,,,,99,,,159,,,,,,
2,10,,,686,371,,,35,,,,,,334,,,,,,,,,,,,,,,,,,96,,,254,,,,,,
2,11,,,637,377,,,33,,,,,,344,,,,,,,,,,,,,,,,,,110,,,253,,,,,,
2,12,,,725,337,,,78,,,,,,258,,,,,,,,,,,,,,,,,,132,,,192,,,,,,
2,13,,,648,399,,,62,,,,,,336,,,,,,,,,,,,,,,,,,161,,,228,,,,,,
2,14,,,754,343,,,171,,,,,,172,,,,,,,,,,,,,,,,,,189,,,147,,,,,,
2,15,,,715,277,,,102,,,,,,174,,,,,,,,,,,,,,,,,,153,,,104,,,,,,
2,16,,,722,219,,,71,,,,,,148,,,,,,,,,,,,,,,,,,130,,,73,,,,,,
2,17,,,860,353,,,133,,,,,,218,,,,,,,,,,,,,,,,,,183,,,153,,,,,,
