WARD,PRECINCT,REGISTERED VOTERS,BALLOTS CAST,BRANDON JOHNSON,PAUL VALLAS,RUTH CRUZ,CHRIS TALIAFERRO,WILLIAM E. HALL,MEGAN MATHIAS,RICHARD A WOOTEN,DESMON C. YANCY,KIM WALZ,JOE DUNNE,CREATIVE SCOTT,BRIAN C. COMER,"JAMES ""JIM"" GARDINER",CB JOHNSON,LAMONT ROBINSON,TIMMY KNUDSEN,PETER CHICO,LENI MANAA-HOPPENWORTH,"LEONOR ""LORI"" TORRES WHITT",CORNELL DANTZLER,"GILBERT ""GIL"" VILLEGAS",NICOLE LEE,RONNIE L. MOSLEY,MONIQUE L. SCOTT,ANGELA CLAY,ANA GUAJARDO,"ANTHONY ""TONY"" CIARAVINO",JESSICA W. GUTIERREZ,PRENTICE C. BUTLER,MARTINA 'TINA' HONE
1,1,1512,779,533,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1471,790,547,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1586,859,538,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1518,726,565,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,1675,764,552,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,1410,674,448,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,1722,836,622,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1448,659,434,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,932,406,241,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,1855,874,520,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,1770,683,468,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,786,348,220,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,1129,531,348,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,1089,465,257,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,1631,791,443,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,1615,793,468,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,1031,480,287,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,1640,673,408,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,1532,592,339,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,1354,578,334,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,1431,600,391,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,1905,798,481,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,962,384,222,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,1941,926,492,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,1899,809,415,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,1707,771,379,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1779,633,163,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1847,851,217,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1443,475,163,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1572,536,153,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
