file name,ward,begin,precinct count
Ward 01.pdf,1,04/01/02,39
Ward 01-03.pdf,1,12/01/02,40
Ward 01-05.pdf,1,11/01/05,50
Ward 01-11.pdf,1,11/18/11,48
Ward 02.pdf,2,09/01/02,59
Ward 02-05.pdf,2,11/01/05,61
Ward 02-06.pdf,2,06/01/06,60
Ward 02-07.pdf,2,11/01/07,56
Ward 02-11.pdf,2,11/18/11,54
Ward 03.pdf,3,09/01/02,63
Ward 03-03.pdf,3,01/02/03,63
Ward 03-05.pdf,3,11/01/05,54
Ward 03-07.pdf,3,11/01/07,50
Ward 04.pdf,4,09/01/02,58
Ward 04-03.pdf,4,12/01/02,57
Ward 04-05.pdf,4,11/01/05,55
Ward 04-07.pdf,4,11/01/07,52
Ward 05.pdf,5,04/01/02,54
Ward 05-03.pdf,5,01/02/03,55
Ward 05-11.pdf,5,11/18/11,48
Ward 06.pdf,6,04/01/02,66
Ward 06-05.pdf,6,11/01/05,64
Ward 06-11.pdf,6,11/18/11,59
Ward 07.pdf,7,04/01/02,65
Ward 07-08.pdf,7,08/01/08,61
Ward 07-11.pdf,7,11/18/11,49
Ward 08.pdf,8,04/01/02,70
Ward 08-11.pdf,8,11/18/11,64
Ward 09.pdf,9,04/01/02,58
Ward 09-05.pdf,9,11/01/05,52
Ward 09-06.pdf,9,06/01/06,53
Ward 09-11.pdf,9,11/18/11,47
Ward 10.pdf,10,04/01/02,49
Ward 10-07.pdf,10,11/01/07,48
Ward 10-11.pdf,10,11/18/11,46
Ward 11.pdf,11,04/01/02,50
Ward 11-03.pdf,11,11/15/02,50
Ward 12.pdf,12,04/01/02,29
Ward 12-05.pdf,12,11/01/05,24
Ward 13.pdf,13,04/01/02,54
Ward 13-05.pdf,13,01/17/06,50
Ward 13-06.pdf,13,01/17/06,50
Ward 13-07.pdf,13,11/01/07,47
Ward 14.pdf,14,04/01/02,37
Ward 14-05.pdf,14,11/01/05,35
Ward 14-11.pdf,14,11/18/11,32
Ward 15.pdf,15,04/01/02,52
Ward 15-11.pdf,15,11/18/11,42
Ward 16.pdf,16,04/01/02,47
Ward 16-05.pdf,16,11/01/05,46
Ward 16-07.pdf,16,11/01/07,44
Ward 16-11.pdf,16,11/18/11,40
Ward 17.pdf,17,04/01/02,64
Ward 17-11.pdf,17,11/18/11,55
Ward 18.pdf,18,04/01/02,64
Ward 18-05.pdf,18,11/01/05,62
Ward 18-11.pdf,18,11/18/11,53
Ward 19.pdf,19,04/01/02,67
Ward 19-05.pdf,19,11/01/05,67
Ward 19-06.pdf,19,06/01/06,67
Ward 19-07.pdf,19,11/01/07,66
Ward 19-10.pdf,19,09/01/10,63
Ward 20.pdf,20,04/01/02,55
Ward 20-03.pdf,20,12/01/02,55
Ward 20-05.pdf,20,11/01/05,50
Ward 20-11.pdf,20,11/18/11,45
Ward 21.pdf,21,04/01/02,76
Ward 21-05.pdf,21,11/01/05,74
Ward 21-11.pdf,21,11/18/11,67
Ward 22.pdf,22,04/01/02,30
Ward 22-05.pdf,22,11/01/05,29
Ward 22-11.pdf,22,11/18/11,28
Ward 23.pdf,23,04/01/02,56
Ward 23-09.pdf,23,10/13/09,54
Ward 23-11.pdf,23,11/18/11,49
Ward 24.pdf,24,04/01/02,59
Ward 24-07.pdf,24,11/01/07,56
Ward 24-11.pdf,24,11/18/11,50
Ward 25.pdf,25,04/01/02,30
Ward 25-03.pdf,25,01/02/03,31
Ward 25-11.pdf,25,11/18/11,30
Ward 26.pdf,26,04/01/02,63
Ward 26-11.pdf,26,11/18/11,53
Ward 27.pdf,27,09/01/02,64
Ward 27-03.pdf,27,12/01/02,66
Ward 27-05.pdf,27,11/01/05,59
Ward 27-11.pdf,27,11/18/11,45
Ward 28.pdf,28,04/01/02,76
Ward 28-03.pdf,28,01/02/03,73
Ward 28-05.pdf,28,11/01/05,61
Ward 28-11.pdf,28,11/18/11,55
Ward 29.pdf,29,09/01/02,54
Ward 29-05.pdf,29,11/01/05,52
Ward 29-07.pdf,29,11/01/07,49
Ward 29-11.pdf,29,11/18/11,48
Ward 30.pdf,30,04/01/02,41
Ward 30-04.pdf,30,04/01/04,43
Ward 30-05.pdf,30,11/01/05,41
Ward 30-11.pdf,30,11/18/11,31
Ward 31.pdf,31,04/01/02,51
Ward 31-11.pdf,31,04/01/02,51
Ward 32.pdf,32,04/01/02,52
Ward 33.pdf,33,04/01/02,34
Ward 33-05.pdf,33,11/01/05,27
Ward 34.pdf,34,04/01/02,73
Ward 34-03.pdf,34,01/02/03,73
Ward 34-05.pdf,34,11/01/05,60
Ward 34-06.pdf,34,06/01/08,61
Ward 34-11.pdf,34,11/18/11,55
Ward 35.pdf,35,04/01/02,35
Ward 35-04.pdf,35,04/01/04,36
Ward 36.pdf,36,04/01/02,55
Ward 36-11.pdf,36,11/18/11,51
Ward 37.pdf,37,04/01/02,58
Ward 37-05.pdf,37,11/01/05,43
Ward 38.pdf,38,04/01/02,53
Ward 38-04.pdf,38,04/01/04,53
Ward 38-11.pdf,38,11/18/11,45
Ward 39.pdf,39,04/01/02,47
Ward 39-11.pdf,39,11/18/11,43
Ward 40.pdf,40,04/01/02,49
Ward 40-09.pdf,40,05/01/09,49
Ward 40-11.pdf,40,11/18/11,41
Ward 41.pdf,41,04/01/02,71
Ward 41-05.pdf,41,11/01/05,57
Ward 42.pdf,42,04/01/02,69
Ward 42-Dec06.pdf,42,12/15/06,69
Ward 42-06.pdf,42,06/01/06,69
Ward 42-11.pdf,42,11/18/11,67
Ward 43.pdf,43,04/01/02,67
Ward 43-05.pdf,43,11/01/05,59
Ward 43-11.pdf,43,11/18/11,51
Ward 44.pdf,44,04/01/02,50
Ward 44-04.pdf,44,11/01/05,51
Ward 44-11.pdf,44,11/18/11,47
Ward 45.pdf,45,04/01/02,53
Ward 46.pdf,45,04/01/02,43
Ward 46-04.pdf,46,04/01/04,43
Ward 46-05.pdf,46,11/01/05,47
Ward 46-11.pdf,46,11/18/11,45
Ward 47.pdf,47,04/01/02,51
Ward 47-05.pdf,47,11/01/05,52
Ward 47-08.pdf,47,08/01/08,52
Ward 47-11.pdf,47,11/18/11,50
Ward 48.pdf,48,04/01/02,56
Ward 48-07.pdf,48,11/01/07,54
Ward 48-11.pdf,48,11/18/11,52
Ward 49.pdf,49,04/01/02,44
Ward 49-05.pdf,49,11/01/05,42
Ward 49-11.pdf,49,11/18/11,38
Ward 50.pdf ,50,04/01/02,45
